998,詠唱・切身,,の魔法攻撃！,
999,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
1000,,,,
1001,ブカブカパンツラッシュ敵,敵を選ばず危険な五連撃。,はﾌﾞｶﾌﾞｶﾊﾟﾝﾂﾗｯｼｭを放った！,
1002,絶叫,,は凄まじい咆哮を放った！,
1003,,,,
1004,クソナエール,敵全体の攻撃力を下げる。,はクソナエールを唱えた！,
1005,敵リブロキール,,はリブロキールを唱えた！,
1006,敵リブロ,,はリブロを唱えた！,
1007,シャケブレイク,,,「カンガルーよりコアラのほうが美味しかった
1008,連続噛み,敵単体にダメージを与える。
(会心対応),のアマゾンクランチ！,
1009,,,,
1010,詠唱・炎4,,の魔法攻撃！,
1011,アッチーナ・Lv4,,でアッチーナ・Lv4を唱えた！,
1012,ブカブカパンツラッシュ敵,敵を選ばず危険な五連撃。,はブカブカパンツラッシュを放った！,
1013,敵ストレート,威力の上下が大きいが、会心率が高い。,はラヴ・ストレートを放った！,
1014,ダイバクーシ,,はダイバクーシを唱えた！,
1015,,,,
1016,バンジーラッシュ2,,,
1017,攻撃銃器,敵単体にダメージを与える。
(会心対応),,
1018,SPｽｷﾙ【世紀末プンプン丸】,怒りのチカラで 詠唱状態&マジ覚突入する
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:6】,の世紀末プンプン丸が発動！,
1019,,,,
1020,SPｽｷﾙ【ティンカルビア】,使用したターンの攻撃の威力が跳ね上がる。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:6】 ,はティンカルビアを唱えた！,
1021,SPｽｷﾙ【ティンカルビア】,使用したターンの攻撃の威力が跳ね上がる。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:6】 ,はティンカルビアを唱えた！,
1022,SPｽｷﾙ【バンジーラッシュ】,敵を選ばず五連撃後、高速でリロード(2ターン継続)
【物:\I[6142]】【即発動】\C[21]【ｸｰﾙﾀｲﾑ:6】,のバンジーラッシュ！,
1023,,,,
1024,SPｽｷﾙ【タイダルバイパー】,相手の残存HPの1/8ダメージを与える。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:7】,のタイダルバイパー！,
1025,SPｽｷﾙ【紳士形態】,MPを捨て、3ﾀｰﾝ通常攻撃の威力が4倍になる。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:10】\C[10]※MPが満タン時のみ発動可能,は紳士形態を発動！,
1026,SPｽｷﾙ【御慰禁の構え】,使用ターン、ｱﾙﾃｨﾒｯﾄｽｷﾙの威力が1.5倍になる。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:8】,は御慰禁の構えをとった！,
1027,SPｽｷﾙ【ｸｰﾙﾘﾀﾞｸｼｮﾝ】,味方全員のクールタイムを1ターン減少させる。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:5】,のクールリダクション！,
1028,,,,
1029,趣味反撃,敵単体にダメージを与える。
(会心対応),の紳士的な一撃！,
1030,リロード,次のターンの攻撃力が大きく上昇する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,はリロードした！,
1031,オツSP,,,
1032,Amazonic satellite,\C[10]-ｱﾏｿﾞﾆｯｸ･ｻﾃﾗｲﾄ-
いきりたったその聖槍は天を穿ち大地を焼き払う。,「見せるぜ聖槍ここがSHOWDOWN!,
1033,強制終了サンダー,敵一体に雷撃魔法を放つ。
【魔:\I[6122]】,は強制終了サンダーを放った！,
1034,肉汁スプラッシュ,灼熱の炎で敵全体を焼き尽くす。
【魔:\I[6120]】,は肉汁スプラッシュを放った！,
1035,,,,
1036,ネオーチ,敵一体を確率で寝落ちさせる。
【睡眠付与(30%)】,はネオーチを唱えた！,
1037,ポヤシミー,敵全体を確率で寝落ちさせる。
【睡眠付与(30%)】,はポヤシミーを唱えた！,
1038,ダルーイ,敵一体を確率で頭痛にする。
【頭痛付与(30%)】,はダルーイを唱えた！,
1039,ヘンズーツ,敵全体を確率で頭痛にする。
【頭痛付与(30%)】,はヘンズーツを唱えた！,
1040,ダマーレ,敵一体を確率で沈黙させる。
【沈黙付与(30%)】,はダマーレを唱えた！,
1041,ダマランカ,敵全体を確率で沈黙させる。
【沈黙付与(30%)】,はダマランカを唱えた！,
1042,ギマーリ,敵一体を確率でヤク漬けにする。
【ヤク付与(30%)】,はギマーリを唱えた！,
1043,ガンギマーリ,敵全体を確率でヤク漬けにする。
【ヤク付与(30%)】,はガンギマーリを唱えた！,
1044,ビネーツ,敵一体を確率でインフルにする。
【ｲﾝﾌﾙ付与(30%)】,はビネーツを唱えた！,
1045,アカンヤーツ,敵全体を確率でインフルにする。
【ｲﾝﾌﾙ付与(30%)】,はアカンヤーツを唱えた！,
1046,ネブソーク,敵一体を確率で目潰しにする。
【目潰し付与(30%)】,はネブソークを唱えた！,
1047,クソネブソーク,敵全体を確率で目潰しにする。
【目潰し付与(30%)】,はネブソークを唱えた！,
1048,パワースクリーム,大声で叫び、敵全体を確率でスタンさせる。
【ｽﾀﾝ付与(45%)】,はパワースクリームを放った！,
1049,メガボンバー,超体重を活かした衝撃波で敵全体を攻撃。
【物:\I[6142]】,はメガボンバーを放った！,
1050,リブロ,低確率で敵一体に死の呪文。【即死付与(20%)】
リブロ系の使い手や、ボスエネミーには通用しない。,はリブロを唱えた！,
1051,大丈夫だよ！^^,敵味方全員 HPを30%回復する。,「大丈夫だよ！^^,
1052,泣かないで！><,敵味方全員 MPを30%回復する。,「泣かないで！><,
1053,ウルセェッ豚がよぉ！！,人のやさしさに甘えるな
【物:\I[6142]】【先制】,「ウルセェッ豚がよぉ！！,
1054,ナエール,敵単体に脱力の魔法。,はナエールを唱えた！,
1055,クソナエール,敵全体に脱力の魔法。,はクソナエールを唱えた！,
1056,モローイ,敵一体の防御力を下げる。,はモローイを唱えた！,
1057,モロモロイ,敵全体の防御力を下げる。,はモロモロイを唱えた！,
1058,チンターラ,敵全体に鈍足の魔法。,はチンターラを唱えた！,
1059,焼き討ちジャッジメント,敵全体に ガトリングで一斉掃射。
【物:\I[6142]】,「身も心もドチクショピヨリ,
1060,アッチーナ・Lv1,炎の魔法で 敵を焼き尽くす。確率で攻撃を下げる。
【魔:\I[6120]】【攻撃弱化(50%)】,の魔法攻撃！,
1061,アッチーナ・Lv2,炎の魔法で 敵を焼き尽くす。確率で攻撃を下げる。
【魔:\I[6120]】【攻撃弱化(50%)】,の魔法攻撃！,
1062,アッチーナ・Lv3,炎の魔法で 敵を焼き尽くす。確率で攻撃を下げる。
【魔:\I[6120]】【攻撃弱化(50%)】,の魔法攻撃！,
1063,ツメテーナ・Lv1,冷気の魔法で 敵全体に氷の刃。
【魔:\I[6124]】【凍結付与(10%)】,の魔法攻撃！,
1064,ツメテーナ・Lv2,冷気の魔法で 敵全体に氷の刃。
【魔:\I[6124]】【凍結付与(10%)】,の魔法攻撃！,
1065,ツメテーナ・Lv3,冷気の魔法で 敵全体に氷の刃。
【魔:\I[6124]】【凍結付与(10%)】,の魔法攻撃！,
1066,シビレーナ・Lv1,雷撃の魔法が敵全体を襲う。
【魔:\I[6122]】【ｽﾀﾝ付与(10%)】,の魔法攻撃！,
1067,シビレーナ・Lv2,雷撃の魔法が敵全体を襲う。
【魔:\I[6122]】【ｽﾀﾝ付与(10%)】,の魔法攻撃！,
1068,シビレーナ・Lv3,雷撃の魔法が敵全体を襲う。
【魔:\I[6122]】【ｽﾀﾝ付与(10%)】,の魔法攻撃！,
1069,オボレーナ・Lv1,激流の魔法で敵全体を呑みこむ。確率で 敏捷を下げる。
【魔:\I[6121]】【敏捷弱化(50%)】,の魔法攻撃！,
1070,オボレーナ・Lv2,激流の魔法で敵全体を呑みこむ。確率で 敏捷を下げる。
【魔:\I[6121]】【敏捷弱化(50%)】,の魔法攻撃！,
1071,オボレーナ・Lv3,激流の魔法で敵全体を呑みこむ。確率で 敏捷を下げる。
【魔:\I[6121]】【敏捷弱化(50%)】,の魔法攻撃！,
1072,フカレーナ・Lv1,旋風の魔法が敵全体を切り刻む。確率で 防御を下げる。
【魔:\I[6123]】【防御弱化(50%)】,の魔法攻撃！,
1073,フカレーナ・Lv2,旋風の魔法が敵全体を切り刻む。確率で 防御を下げる。
【魔:\I[6123]】【防御弱化(50%)】,の魔法攻撃！,
1074,フカレーナ・Lv3,旋風の魔法が敵全体を切り刻む。確率で 防御を下げる。
【魔:\I[6123]】【防御弱化(50%)】,の魔法攻撃！,
1075,黒歴史,,黒歴史を全国ネット配信した！,
1076,リロード,次のターンの攻撃力が大きく上昇する。APP10チャージ
\C[21]【ｸｰﾙﾀｲﾑ:1】,はリロードした！,
1077,ツァーリ・ボンバ,自らを犠牲に大爆発。※双方が全滅した場合敗北になる。
【無:\I[6120]】,の身体が光り輝いた！,
1078,ツァーリ自爆２,,は自爆した！,
1079,退職,敵キャラの行動用。使用者が戦闘から離脱する。,,
1080,グラサンフラッシュ,敵全体を確率で目潰し状態にする。
【目潰し付与(35%)】,はグラサンフラッシュを放った！,
1081,,,,
1082,本命ガンボリミサイル,一斉にミサイルを発射し敵全体にダメージ
【物:\I[6120]】,は一斉にミサイルを放った！,
1083,ポイポイグレネード,グレネードで敵全体を攻撃
【魔:\I[6120]】,はグレネードを投げつけた！,
1084,リブロキール,低確率で敵全体に死の呪文。【即死付与(16%)】
リブロ系の使い手や、ボスエネミーには通用しない。,はリブロキールを唱えた！,
1085,チェーンプリズン,鎖を敵全体にからませて攻撃
【物:\I[6142]】【ｽﾀﾝ付与(30%)】,のチェーンプリズン！,
1086,クソラップ,絶望的なダンスで自身含め 敵味方全員が馬鹿になる。
【馬鹿付与(50%)】,「Here we go! oh,ラップだぜ oh year BEAT刻むぜラップ year
1087,みず爪攻撃,,の攻撃！,
1088,シビレーナ・Lv4,雷撃の魔法が敵全体を襲う
【魔:\I[6122]】【ｽﾀﾝ付与(10%)】,の魔法攻撃！,
1089,シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
1090,充電→放電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は充電した！,
1091,マイドニックレーザー,全エネルギーを収束し 敵一体にレーザーを照射。
【魔:\I[6125]】,のマイドニックレーザー！,
1092,充電→放電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,,
1093,アッチーナ・Lv4,炎の魔法で 敵全体を焼き尽くす。確率で攻撃を下げる。
【魔:\I[6120]】【攻撃弱化(50%)】,の魔法攻撃！,
1094,アッチーナ・Lv4,,はアッチーナ・Lv4を唱えた！,
1095,メタルボンバー,メタポメを叩き落として敵一体を攻撃
【物:\I[6142]】【ｽﾀﾝ付与(30%)】,はメタルボンバーを放った！,
1096,サイクロ光線敵,目からビームで敵全体を焼き払う,はサイクロ光線を放った！,
1097,キング攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1098,王の意地,使用ターンの間、味方全員にダメージ無効バリアを展開。
【先制】\C[21]【ｸｰﾙﾀｲﾑ:4】,の王の意地！,
1099,ツメテーナ・Lv4,冷気の魔法で 敵全体に氷の刃
【魔:\I[6124]】【凍結付与(10%)】,の魔法攻撃！,
1100,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
1101,ガンガンドリルラッシュ,ドリルで敵2体を攻撃
【物:\I[6142]】,はガンガンドリルラッシュを放った！,
1102,サイクロ光線,目からビームで敵全体を焼き払う
【魔:\I[6125]】,はサイクロ光線を放った！,
1103,トゥルーンパンチ,剛腕で敵一体を攻撃
【物:\I[6142]】,のトゥルーンパンチ！,
1104,アモーレパンチ,目にもとまらぬ速さで先制攻撃。
【物:\I[6142]】【先制】【ｽﾀﾝ付与(35%)】,はアモーレパンチを放った！,
1105,パワードリル,ドリルで敵一体を攻撃
【物:\I[6142]】,はパワードリルを放った！,
1106,サイケショック,妨害電波を発信し、マシン系エネミーを故障させる。
【故障付与(70%)】,はサイケショックを唱えた！,
1107,コマンダースキル・バーサク,味方全員の攻撃力を少し強化する。
,\N[139]はコマンダースキルを発動！,
